email,full_name,how_was_your_last_month_in_your_assignment,How_Was_Your_Last_Month_Within_Your_Department,How_Was_Your_Last_Month_With_Us,What_Felt_Best_During_This_Last_Month,What_Should_We_Do_To_Make_You_Feel_Better_And_Increase_Your_Overall_Satisfaction,Any_Additional_Suggestion_To_Improve,any_additional_comments,I_Would_Like_To_Get_Called_By,I_Would_Like_To_Provide_A_Copy_Of_My_Answers_To,id,improve_sentiment,feeling_sentiment,satisfaction_sentiment
orci@tempusmauriserat.ca,Phillip,1,1,1,No Feeling,No Satisfaction,No Improvement,,,,41,neutral,neutral,neutral
porttitor.interdum.Sed@sapienAenean.ca,Alvin,1,1,3,No Feeling,No Satisfaction,No Improvement,,,,42,neutral,neutral,neutral
nulla@egestas.edu,Jakeem,4,4,4,No Feeling,No Satisfaction,No Improvement,,,,43,neutral,neutral,neutral
parturient.montes.nascetur@molestie.co.uk,Darius,2,2,2,No Feeling,No Satisfaction,No Improvement,,,,44,neutral,neutral,neutral
est@Nunccommodo.org,Channing,4,4,4,No Feeling,No Satisfaction,No Improvement,,,,45,neutral,neutral,neutral
porttitor@eu.org,Jackson,4,4,1,No Feeling,No Satisfaction,No Improvement,,,,46,neutral,neutral,neutral
Nam.porttitor@telluslorem.edu,Patrick,4,4,4,No Feeling,No Satisfaction,No Improvement,,,,47,neutral,neutral,neutral
nibh.Aliquam.ornare@vel.co.uk,Jameson,3,3,2,No Feeling,No Satisfaction,No Improvement,,,,48,neutral,neutral,neutral
Quisque.ac@velitegetlaoreet.ca,Wylie,1,1,3,No Feeling,No Satisfaction,No Improvement,,,,49,neutral,neutral,neutral
elit.sed.consequat@magnaatortor.net,Aristotle,4,4,3,No Feeling,No Satisfaction,No Improvement,,,,50,neutral,neutral,neutral
urna.convallis@adlitora.com,Luke,4,4,3,No Feeling,No Satisfaction,No Improvement,,,,51,neutral,neutral,neutral
Phasellus@nasceturridiculus.co.uk,Ira,2,2,2,No Feeling,No Satisfaction,No Improvement,,,,52,neutral,neutral,neutral
vulputate.mauris.sagittis@anteipsumprimis.com,Calvin,4,4,1,No Feeling,No Satisfaction,No Improvement,,,,53,neutral,neutral,neutral
et.euismod.et@Etiamlaoreet.com,Kirk,4,4,4,No Feeling,No Satisfaction,No Improvement,,,,54,neutral,neutral,neutral
mollis.Phasellus.libero@luctusfelispurus.net,Bruce,4,4,4,No Feeling,No Satisfaction,No Improvement,,,,55,neutral,neutral,neutral
euismod.est@facilisisfacilisis.net,Abel,1,1,2,No Feeling,No Satisfaction,No Improvement,,,,56,neutral,neutral,neutral
nascetur.ridiculus@semmolestie.com,Colin,4,4,4,No Feeling,No Satisfaction,No Improvement,,,,57,neutral,neutral,neutral
Nullam.feugiat.placerat@velmauris.com,Marshall,4,4,4,No Feeling,No Satisfaction,No Improvement,,,,58,neutral,neutral,neutral
ac@ut.com,Cade,4,4,2,No Feeling,No Satisfaction,No Improvement,,,,59,neutral,neutral,neutral
Curabitur.consequat.lectus@lacusCrasinterdum.edu,Cadman,2,2,1,No Feeling,No Satisfaction,No Improvement,,,,60,neutral,neutral,neutral
pellentesque.a@odiovelest.edu,Wade,4,4,3,No Feeling,No Satisfaction,No Improvement,,,,61,neutral,neutral,neutral
Sed@a.edu,Ulysses,4,4,4,No Feeling,No Satisfaction,No Improvement,,,,62,neutral,neutral,neutral
adipiscing@sociisnatoquepenatibus.co.uk,Cairo,4,4,2,No Feeling,No Satisfaction,No Improvement,,,,63,neutral,neutral,neutral
hendrerit.neque.In@tempor.org,Lev,3,3,4,No Feeling,No Satisfaction,No Improvement,,,,64,neutral,neutral,neutral
Mauris.non.dui@non.com,Brett,4,4,1,No Feeling,No Satisfaction,No Improvement,,,,65,neutral,neutral,neutral
auctor@dignissim.co.uk,Byron,4,4,4,No Feeling,No Satisfaction,No Improvement,,,,66,neutral,neutral,neutral
aliquam.eu@ProindolorNulla.edu,Rudyard,4,4,2,No Feeling,No Satisfaction,No Improvement,,,,67,neutral,neutral,neutral
sem.molestie@magnisdis.ca,Cairo,2,2,3,No Feeling,No Satisfaction,No Improvement,,,,68,neutral,neutral,neutral
non@Donecelementum.co.uk,Fitzgerald,4,4,3,No Feeling,No Satisfaction,No Improvement,,,,69,neutral,neutral,neutral
nascetur.ridiculus@odioNam.com,Ferris,4,4,3,No Feeling,No Satisfaction,No Improvement,,,,70,neutral,neutral,neutral
accumsan.sed.facilisis@Nunclaoreetlectus.edu,Ferris,4,4,2,No Feeling,No Satisfaction,No Improvement,,,,71,neutral,neutral,neutral
Nunc@velturpisAliquam.ca,Merrill,3,3,1,No Feeling,No Satisfaction,No Improvement,,,,72,neutral,neutral,neutral
fringilla@molestie.ca,Kaseem,4,4,4,No Feeling,No Satisfaction,No Improvement,,,,73,neutral,neutral,neutral
faucibus@ligula.com,Vincent,2,2,4,No Feeling,No Satisfaction,No Improvement,,,,74,neutral,neutral,neutral
velit.egestas.lacinia@mi.ca,Ian,4,4,2,No Feeling,No Satisfaction,No Improvement,,,,75,neutral,neutral,neutral
eget@libero.co.uk,Owen,2,2,4,No Feeling,No Satisfaction,No Improvement,,,,76,neutral,neutral,neutral
Aenean.euismod.mauris@cursusa.com,Oren,4,4,4,No Feeling,No Satisfaction,No Improvement,,,,77,neutral,neutral,neutral
netus.et.malesuada@penatibuset.co.uk,Jarrod,4,4,2,No Feeling,No Satisfaction,No Improvement,,,,78,neutral,neutral,neutral
et.rutrum.eu@dolorFuscefeugiat.co.uk,Jerry,4,4,1,No Feeling,No Satisfaction,No Improvement,,,,79,neutral,neutral,neutral
Aliquam@etipsum.net,Burke,3,3,3,No Feeling,No Satisfaction,No Improvement,,,,80,neutral,neutral,neutral
Aliquam.gravida.mauris@QuisquevariusNam.co.uk,Zahir,4,4,4,No Feeling,No Satisfaction,No Improvement,,,,81,neutral,neutral,neutral
adipiscing.ligula.Aenean@ligula.org,Silas,1,1,2,No Feeling,No Satisfaction,No Improvement,,,,82,neutral,neutral,neutral
at.libero@Sedetlibero.net,Jackson,1,1,4,No Feeling,No Satisfaction,No Improvement,,,,83,neutral,neutral,neutral
sit@Cras.co.uk,Marshall,2,2,1,No Feeling,No Satisfaction,No Improvement,,,,84,neutral,neutral,neutral
augue.Sed@acmi.net,Bruno,4,4,4,No Feeling,No Satisfaction,No Improvement,,,,85,neutral,neutral,neutral
mollis.Integer@commodoauctor.org,Ronan,4,4,2,No Feeling,No Satisfaction,No Improvement,,,,86,neutral,neutral,neutral
lacus@pede.ca,Kadeem,4,4,3,No Feeling,No Satisfaction,No Improvement,,,,87,neutral,neutral,neutral
et.netus@ornarefacilisis.edu,Brian,3,3,3,No Feeling,No Satisfaction,No Improvement,,,,88,neutral,neutral,neutral
id.enim.Curabitur@libero.ca,Kadeem,4,4,3,No Feeling,No Satisfaction,No Improvement,,,,89,neutral,neutral,neutral
orci@ridiculus.net,Stephen,4,4,2,No Feeling,No Satisfaction,No Improvement,,,,90,neutral,neutral,neutral
Aliquam@nibhPhasellusnulla.net,Cyrus,4,4,1,No Feeling,No Satisfaction,No Improvement,,,,91,neutral,neutral,neutral
vulputate@afeugiat.ca,Rigel,2,2,4,No Feeling,No Satisfaction,No Improvement,,,,92,neutral,neutral,neutral
laoreet.lectus@Sedeget.edu,Stuart,4,4,4,No Feeling,No Satisfaction,No Improvement,,,,93,neutral,neutral,neutral
eleifend.Cras@nunc.co.uk,Reese,4,4,2,No Feeling,No Satisfaction,No Improvement,,,,94,neutral,neutral,neutral
erat.vel@egestasrhoncusProin.edu,Victor,4,4,2,No Feeling,No Satisfaction,No Improvement,,,,95,neutral,neutral,neutral
In@vitaeorci.net,Gareth,2,2,1,No Feeling,No Satisfaction,No Improvement,,,,96,neutral,neutral,neutral
elementum@necurnaet.ca,Avram,4,4,4,No Feeling,No Satisfaction,No Improvement,,,,97,neutral,neutral,neutral
quis.pede.Suspendisse@risus.edu,Coby,4,4,4,No Feeling,No Satisfaction,No Improvement,,,,98,neutral,neutral,neutral
enim@ridiculusmusProin.org,Hector,4,4,2,No Feeling,No Satisfaction,No Improvement,,,,99,neutral,neutral,neutral
